ID;Severidad_accidente;Numero_vehiculos;Numero_victimas;Dia_semana;Tipo_via;Limite_velocidad;Iluminacion;Clima;Condicion_via;Condiciones especiales;Tipo_area
201143N077061;Fatal;5;1;7;Autovia;70;Luz_dia;Bueno;Seca;No;Rural
200697LB70507;Fatal;1;1;2;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200897UA70101;Fatal;1;1;4;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
20114100D0277;Fatal;1;1;4;Calzada;40;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
20141316C1381;Fatal;1;1;5;Calzada;40;Luz_dia;Bueno;Seca;No;Rural
201206B057779;Fatal;1;1;6;Calzada;20;Luz_dia;Bueno;Seca;No;Urbano
200630A000484;Fatal;2;2;3;Calzada;30;Luz_dia;Bueno;Seca;No;Rural
20114100C0244;Fatal;1;1;1;Autovia;70;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
200814C155708;Fatal;1;3;5;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
201214K068812;Fatal;2;4;3;Autovia;40;Oscuridad con luces apagadas;Bueno;Seca;No;Urbano
200614A236006;Fatal;2;1;5;Calzada;40;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
201201TD00098;Fatal;2;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200714C020407;Fatal;1;2;4;Calzada;30;Luz_dia;Bueno;Humeda;No;Urbano
2012160A04881;Fatal;2;1;7;Calzada;60;Luz_dia;Bueno;Humeda;No;Rural
200614C192506;Fatal;2;2;4;Calzada;60;Oscuridad con luces encendidas;Bueno;Humeda;No;Rural
2010160D03851;Fatal;2;1;6;Rotonda;40;Luz_dia;Bueno;Humeda;No;Urbano
20103104C1668;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201214A044112;Fatal;2;1;4;Autovia;70;Luz_dia;Bueno;Seca;No;Rural
201401TD00036;Fatal;3;1;6;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
201101TD00200;Fatal;2;1;6;Autovia;50;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200606X055230;Fatal;1;1;1;Autovia;70;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
201243P324062;Fatal;1;1;7;Calzada;50;Luz_dia;Niebla;Seca;No;Rural
201005EE03967;Fatal;1;1;7;Autovia;-40;Luz_dia;Bueno;Seca;No;Urbano
